ASV	September_62_B	September_33_E	September_43_B	September_62_E	September_41_E	September_29_E	September_48_B	September_17_B	September_66_B	September_29_B	September_55_E	September_29_M	September_66_E	September_8_E	September_12_E	September_8_B	September_17_E	September_43_E	May_38_E	September_717_E	September_48_E	September_35_E	May_66_E	September_64_E	May_8_E	September_48_M	May_12_E	May_33_E	May_17_E	September_35_M	May_717_E	May_35_M	May_55_E	May_35_E	May_12_M	September_35_B	May_29_E	May_64_E	May_41_E	May_64_M	May_35_B	May_33_B	May_38_M	May_12_B	May_74_E	May_74_M	May_41_B	May_55_M	May_48_E	May_29_B	May_29_M	May_74_B	May_64_B	May_43_E	May_48_B	May_41_M	September_12_B	May_55_B	September_55_B	May_33_M	September_717_B	September_64_B	September_41_B	September_38_B	September_55_M	September_33_B	September_64_M	September_38_E	September_41_M	September_12_M	September_33_M	September_717_M	taxonomy
ASV_10	166935	140948	74497	145170	185119	99885	134309	129728	226317	151554	130972	130855	281760	110562	96002	55129	202518	160255	34677	235843	270868	120683	20263	214174	51582	266668	66088	72092	37799	115556	35058	47275	32634	66315	76317	107132	28190	37947	54964	36230	20423	20297	39532	15194	26323	22377	29738	24151	57819	26680	54456	19737	17385	33935	32578	54728	10579	20738	10498	65969	9397	7409	7407	20675	11762	6332	12017	17519	11721	25136	10802	14434	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade; NA
ASV_12	33233	42320	22801	28494	48987	28521	32014	53287	56821	51292	26319	41055	68034	42307	33198	26289	118106	38459	105843	50015	82116	74956	37295	74954	25904	67022	64721	101631	33388	82533	92444	87093	49214	152346	120957	92929	19607	56408	69753	61351	46983	19526	280944	17958	26096	20120	27937	25846	82274	24781	29024	21675	11580	29436	31347	64427	17110	9870	19053	109226	18165	13253	22897	43030	56921	13253	51083	26334	86734	79853	99437	53899	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; Candidatus Planktophila; NA
ASV_9	78006	88181	48752	108748	61855	23103	111678	278182	51683	24010	88663	17742	56526	218134	55402	175260	229230	29494	71942	63268	62997	109596	148006	33343	60557	52529	94195	79838	77294	88758	26919	116545	79041	59684	92815	58915	76775	70207	85881	71450	59309	48211	53237	42561	62404	64874	67118	48198	192709	40159	34602	65904	22503	44885	84987	58238	63814	40777	12026	59898	32023	7187	33410	24638	15364	31245	5136	23203	46348	51558	41833	61596	Bacteria; Verrucomicrobiota; Verrucomicrobiae; NA; NA; NA; NA
ASV_118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113348	0	0	0	37736	0	0	0	4710	0	39767	0	6260	222473	4649	220275	4228	0	0	6247	0	7700	53481	286	49899	1835	5219	2821	0	2055	1496	0	0	225	0	0	0	0	60	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; NA
ASV_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62367	0	0	0	221569	0	9203	0	1671	4338	87066	0	3756	121981	1404	150375	693	0	1969	0	0	1010	27540	220	23192	860	2496	3385	1406	1387	0	695	1513	1284	1201	0	0	0	0	1545	0	596	0	0	0	0	0	0	0	0	0	252	0	0	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; NA
ASV_17	98546	114919	145433	113516	107784	76719	133513	221320	71691	64062	96378	69454	75126	139236	85223	129226	147525	101166	26137	74508	99323	90075	19235	83267	20905	79918	27955	25718	3936	62204	18155	57135	12720	26168	28212	36596	10158	5687	26842	11235	66220	33814	15462	15658	30181	30086	33383	10945	2862	9959	8698	25595	11323	2114	1919	19767	9537	22632	5414	24339	9602	6689	9982	15798	7071	4110	7754	16498	3215	25611	7592	30417	Bacteria; Verrucomicrobiota; Verrucomicrobiae; Pedosphaerales; Pedosphaeraceae; SH3-11; NA
ASV_25	13924	16379	10408	12753	19302	14198	16718	27495	26476	21688	10826	19861	28878	21725	14443	10760	56061	18338	86175	22235	33841	27107	72535	25350	65556	27566	28562	43689	41395	36038	78462	58273	27985	118472	53512	40469	34175	30675	51820	31686	30892	10413	210840	8503	21785	19744	24071	7656	131183	24596	40937	20008	6462	60010	52262	44198	5009	4237	6577	44016	5873	3933	5256	11196	15031	2890	14377	9281	14701	20662	14242	10815	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; NA; NA
ASV_21	38157	39575	18487	36077	31150	22543	23143	64183	27383	11398	36523	16652	26055	23309	26587	15751	30061	18236	81259	50604	30351	64559	39938	25487	63625	27684	105134	199131	23412	54909	43405	53090	112465	74202	116452	27299	49451	87642	146435	106544	41000	21464	67469	15960	72616	78412	34218	56985	68095	14961	29781	23861	5776	39952	19930	79344	6291	15802	11453	88302	12360	7215	8880	29313	16254	6528	8646	23980	11101	34195	11235	34559	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_23	10155	17176	10202	8272	12231	8905	6539	15492	6105	13826	5724	13079	2823	15920	8407	11924	27710	12073	129910	8393	10037	33261	93532	9638	68510	10648	120478	196446	31420	26117	85140	108076	118781	164713	105430	20216	38033	142931	92111	114118	52965	20979	117016	9874	89181	54908	23588	36791	95021	19501	27890	16718	5433	43639	36244	70708	5209	7278	4685	58814	5431	3213	2416	5717	8649	4110	5592	9237	15036	20578	11618	9136	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Sediminibacterium; NA
ASV_30	103392	157504	125371	90997	138489	90855	112758	61203	55673	83112	94387	55043	64487	72829	79906	55129	46373	86699	0	34849	80825	28858	0	58145	0	65602	0	0	0	14493	0	0	0	0	0	7858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1021	0	385	2813	178	0	218	3664	201	0	0	4056	Bacteria; Cyanobacteria; Cyanobacteriia; Synechococcales; Cyanobiaceae; Cyanobium PCC-6307; NA
ASV_47	19001	8676	9381	17464	11594	10835	6084	23749	2660	6860	1991	12534	1303	16624	4024	10205	20515	14212	89540	1816	11471	9071	34065	4431	3863	13546	8508	12084	72204	7247	81175	94930	38512	155752	8665	2804	33545	23682	24163	32822	27488	1167	146358	1882	12254	13163	16121	14182	89168	14544	22879	8201	1801	41741	26697	15841	1002	5135	69	2222	306	0	358	1278	178	393	0	1865	5827	9646	2701	2551	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; NA
ASV_22	39926	53475	25882	26081	40387	24660	29227	42051	26658	30237	24017	32699	31918	40021	29893	37770	78428	36931	88504	21547	46316	49440	36121	57643	36812	44129	104982	147179	15608	43090	69489	66742	88252	133527	100786	41170	15119	111604	63698	95435	36823	13120	119300	8712	68985	45694	19020	29289	58275	14730	11251	11063	5633	14908	24089	57592	5971	6979	6386	51984	7457	5055	4354	7945	15987	4483	14218	9526	22755	22899	21401	10924	Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Sediminibacterium; NA
ASV_13	52235	25498	26978	31998	35482	35059	35198	59331	64921	46490	29368	39481	61230	43451	44767	19966	98516	40089	51239	63219	72031	73736	56971	41793	104413	58090	34943	42243	132465	132287	32554	54860	33862	64523	53720	133619	71892	23402	86289	16285	46261	28574	47263	22070	25189	30086	76782	23534	133654	70128	143420	48758	28651	90313	100759	88212	17171	24825	10429	64343	18505	9237	14548	53933	15142	7315	11244	54999	15940	37885	10140	39640	Bacteria; Chloroflexi; SL56 marine group; NA; NA; NA; NA
ASV_34	3077	2833	1096	2700	2867	872	2104	5193	5138	2902	1555	1877	4560	2991	1725	1387	9830	3311	52016	6381	6166	10291	42141	5755	63284	5265	22789	29229	44381	11672	40275	28820	14475	55024	29598	14019	43309	15477	45066	15275	18463	8916	87674	7829	20423	15607	26575	5961	139508	35574	48689	18521	8521	69280	65967	37594	6231	6630	8590	27808	7303	5027	5748	8785	7293	3520	5989	8016	6865	11995	5656	5996	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade; NA
ASV_52	17463	34440	21705	13328	24653	23663	17229	20259	10699	23271	14497	23616	10495	20230	16312	15640	21798	32092	122664	14627	20218	16020	60348	24254	8521	22715	35247	53501	9704	10505	93904	64719	38161	124566	25924	7157	3228	44101	14905	28908	24910	1959	138978	999	36762	31591	4612	13771	2927	695	1513	2343	858	1301	1132	7482	1202	2094	1562	8890	1566	997	677	2977	2246	747	1765	3952	5459	5256	2522	3358	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Cyclobacteriaceae; Algoriphagus; NA
ASV_15	18463	32227	14995	17521	25353	14509	17172	32347	26114	21477	11511	19740	22798	26299	28671	21242	55776	20834	35454	16148	34701	99994	9397	42707	17042	29281	73837	67651	20223	81512	30049	20478	36845	61297	136831	103996	17796	34777	69869	39512	18979	31634	98216	15124	13842	12223	35580	24510	49364	24503	12952	16132	12724	24882	22785	45076	18593	27866	14871	65373	19186	12741	24994	58791	41890	16104	29686	44919	122583	100375	79208	49539	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; CL500-29 marine group; NA
ASV_58	2693	8499	5409	2240	8026	4546	3696	5618	1813	4802	6222	4420	1809	4838	5533	3494	3562	2547	45546	0	5162	10450	26430	3380	127022	2307	36311	39145	12758	10700	49874	34888	34827	15414	32579	7083	37088	23775	67599	26762	29397	25778	30396	15310	18154	23129	31802	24921	12162	23206	20516	5092	5433	28243	9621	43228	0	7228	0	33879	0	0	0	2155	0	0	0	1932	904	4250	764	1439	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; NA; NA; NA
ASV_76	6385	6729	3629	9192	7708	3736	4606	21877	967	3324	1991	8114	2533	10027	2946	5380	16241	6520	85658	3092	4971	12784	26723	1964	10225	7749	1975	5577	29180	13229	44657	33750	7983	75815	3535	4796	32442	6060	19738	8332	9283	1013	120003	953	4765	4513	4349	2775	46828	7782	18058	5836	543	51336	18306	5404	160	2293	121	1138	579	97	0	1315	133	0	0	3353	134	1146	0	567	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; NA
ASV_31	28156	34352	29100	22922	24716	14759	21892	22898	23514	28759	24639	18226	13534	30521	22851	22573	35190	30054	48910	20517	22417	25198	30247	21513	36584	26205	28866	60111	50353	19308	47370	22121	19651	37280	39094	16269	33860	39812	40175	18936	16039	9268	117192	7806	22692	10718	10542	10739	27902	20473	14370	20120	5890	60986	20226	14225	7734	4686	7427	17509	6691	6093	3995	10611	3357	4994	1666	17275	6011	6543	2471	4884	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Limnohabitans; NA
ASV_66	22386	2745	1849	11145	1593	2242	2900	14897	3083	3430	8026	2664	2678	18999	2731	14032	15173	1681	44252	19731	9607	8647	57558	365	93165	3786	26435	32948	9093	9046	51752	46264	18773	37997	24607	6050	48899	68901	114877	25626	37803	1321	32504	2137	39939	42873	7775	9146	1041	8569	17490	1262	200	24232	295	30712	982	399	0	922	221	0	0	4109	0	0	0	3464	285	811	1197	1788	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_61	1769	1771	0	2126	255	685	0	5193	0	1214	249	0	0	2023	1078	2829	926	0	15268	1767	717	6949	36414	0	27041	887	92979	114542	8347	8025	16485	25913	63777	23479	68207	6530	75357	99483	88210	51252	33522	3500	11772	2137	62858	66190	12299	30882	0	13294	27795	3537	0	14420	0	45815	601	1196	729	11600	1021	831	0	3306	0	0	0	4041	502	1678	0	2289	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_50	7308	15405	6368	6262	8536	5106	7392	11492	11122	5699	6906	5934	8975	11874	11785	7820	14745	8252	14233	12860	9655	12519	18060	10414	38857	8932	7900	15286	29384	7295	12729	7205	6229	13263	14695	4021	51813	0	47511	4166	7994	7639	25476	2207	9077	8274	37381	4625	114208	27236	27323	11761	3689	91072	61440	26186	882	10718	798	6613	800	568	0	840	0	0	0	1665	0	1454	0	894	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; CL500-29 marine group; NA
ASV_26	29541	83843	49847	24587	58988	46206	37359	93465	61294	47862	45607	63520	47044	94994	37725	75761	75864	55728	41147	108228	37712	56496	55649	52710	9089	59628	13977	20760	34134	33850	15025	35773	14650	47855	13863	22024	8819	10722	20903	11488	12996	8101	27409	4368	13162	12411	9576	10174	32910	2826	8603	6669	1830	4987	8760	15564	5931	2193	7306	15991	9380	5664	5840	6392	10651	7315	8844	10081	11553	10177	5962	14609	Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; NS11-12 marine group; NA; NA
ASV_14	44619	44799	34509	60722	31533	17561	63288	107936	24300	15567	50522	12413	31484	76611	34204	75650	93957	22261	18374	21106	32359	42332	32890	23477	16020	29341	95106	104730	41938	41583	11477	19593	68777	8065	97944	24237	32600	82421	41805	67916	20681	47924	13880	38100	34719	36104	23324	40131	78306	21122	14654	37267	13925	15179	32307	25309	86494	23629	12928	77624	26320	10179	47095	22410	13852	43436	7813	19273	66524	53878	55107	48383	Bacteria; Verrucomicrobiota; Verrucomicrobiae; NA; NA; NA; NA
ASV_74	2616	0	0	0	0	0	0	0	3990	0	0	0	0	0	0	0	7764	0	47358	4761	1864	6896	56383	2055	54763	1834	8052	8469	25923	10602	26919	27683	0	60401	12546	13170	40710	0	22184	0	13306	793	63779	0	11119	8838	5974	0	107899	21909	39424	9959	0	46241	36859	10853	761	0	0	4499	0	0	465	4274	0	0	0	4618	1859	6934	0	2965	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; Candidatus Planktophila; NA
ASV_40	38234	55246	35674	34985	48286	43030	44808	48690	68488	61107	32479	51894	54644	36590	34348	30338	71163	53181	0	39168	78244	27903	587	105557	568	69743	4406	4235	1357	14542	1043	0	2720	0	10328	17634	866	2890	3028	4040	722	2422	1581	2068	0	1316	1889	1490	1431	1621	851	969	1773	1680	1058	2124	220	1944	1006	4391	1021	1219	398	877	3091	511	3391	1776	1373	811	1529	698	Bacteria; Actinobacteriota; Acidimicrobiia; Microtrichales; Ilumatobacteraceae; CL500-29 marine group; NA
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11645	0	0	0	18648	0	104299	0	18991	43069	10994	0	3756	10492	12282	5735	21349	0	34726	12867	17758	17926	18205	1497	7204	3067	46065	51335	3778	6474	14634	7041	18058	9711	2488	21088	3248	6651	160	4536	0	6017	204	125	0	0	0	0	0	0	0	503	433	1112	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_33	4077	6375	6916	2987	5351	3923	4322	3916	2116	4169	5102	3694	2606	4750	4311	4492	4915	6113	60556	2749	6453	12307	48601	7080	41015	6330	30689	36149	102403	14201	52795	35267	20440	42836	32648	10772	62837	21631	28938	11866	30015	8960	44452	6551	24054	16171	12036	13463	30763	44838	42449	28953	7263	72315	31569	14179	9537	2891	4321	14094	8291	5138	3863	27542	6670	2851	5731	37791	8707	9646	4560	7980	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhodoferax; NA
ASV_39	7847	8499	6025	7813	12103	5667	7051	13705	12090	11082	5600	9507	18673	6861	6898	4770	18236	9780	35454	17915	19549	9124	36708	14753	22269	16918	22941	30882	21376	11770	30884	22626	21405	43553	36460	13096	20316	23682	33770	29918	12274	7133	57278	8712	12027	12787	13573	10277	100224	20149	23636	14443	8149	26617	48104	24385	3546	8425	7948	29814	5601	5373	4579	4274	13586	3893	13128	3197	8389	7074	10573	4361	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; NA; NA
ASV_36	17540	65605	98735	28264	46503	61151	68974	56437	39654	94827	70121	86954	34741	93411	31617	61618	67743	90061	0	30579	22130	24561	0	28045	0	40580	0	0	0	16682	0	0	0	0	0	5681	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	2825	0	1614	0	8699	776	2734	3799	2112	2497	3014	10169	22822	5983	15796	3925	Bacteria; Cyanobacteria; Cyanobacteriia; Synechococcales; Cyanobiaceae; Cyanobium PCC-6307; NA
ASV_20	2000	14785	7121	0	8918	4172	8871	75930	0	4222	5289	4481	0	42571	16240	31613	58839	4992	32866	2160	3250	72781	42434	959	40106	1656	29930	29023	27891	86327	12938	56882	23072	26885	33341	53271	48348	21817	41456	22218	42187	43456	17746	35173	37215	33095	30616	18139	96387	33860	20799	64214	17642	39790	38311	26417	77618	25872	4980	40275	31376	12020	11176	29240	4158	26447	4105	23647	23693	60141	34420	50803	Bacteria; Verrucomicrobiota; Verrucomicrobiae; NA; NA; NA; NA
ASV_55	22848	59053	14516	31883	7963	7722	54304	9874	74351	80738	70619	56072	18890	53742	3449	5380	58198	93627	0	76864	5879	24879	0	56273	0	75954	0	0	0	8754	0	0	0	0	0	1107	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	80	0	0	0	732	0	0	0	245	0	0	5240	0	112	0	0	Bacteria; Cyanobacteria; Cyanobacteriia; Cyanobacteriales; Microcystaceae; Microcystis PCC-7914; NA
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2279	0	56674	2700	0	2281	65193	0	46355	0	14433	14356	36238	0	43822	20857	2895	55920	13725	2656	30001	0	55721	0	6962	0	92594	0	21558	14479	0	0	46373	6485	20421	2208	0	57137	24040	8221	0	0	0	0	0	0	0	0	0	0	0	2154	0	0	0	0	Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Spirosomaceae; Pseudarcicella; NA
ASV_41	5077	4781	3424	3849	3695	2989	2729	8257	6287	6227	2115	4602	3402	6773	4599	4492	11967	3871	42441	8295	5353	13103	34799	6121	40106	4377	17472	25408	42413	11089	29423	12641	12633	44091	33480	14314	33230	15757	44309	10478	13873	9136	51656	5483	10438	9214	28596	4984	88257	26078	19476	17011	5690	59088	51401	26002	8134	10817	6525	17780	7065	3504	3239	12766	3580	5171	2360	12012	4236	7465	4968	5756	Bacteria; Actinobacteriota; Actinobacteria; Frankiales; Sporichthyaceae; hgcI clade; NA
ASV_44	27540	13989	24718	26196	16754	17997	20129	21196	22305	22638	18044	16894	15706	29818	13437	29672	30773	19051	87728	20026	25858	19468	38323	15164	34653	17628	21878	32225	39835	16828	52169	29452	18072	48930	24885	12691	19686	22283	21892	4797	17793	11491	45858	9641	18381	8650	16648	7451	34145	19362	15221	18836	10751	19949	22317	12424	2384	5434	3193	13714	2026	2534	1845	5333	1823	1475	2122	9015	837	1538	662	1374	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Polynucleobacter; acidiphobus
ASV_45	1923	16645	5820	5860	9619	5854	3355	19663	846	5277	4106	4239	869	6421	28384	6877	12466	1936	13457	6135	1721	86892	18648	1599	4545	1952	33120	19934	1764	63857	13147	22121	35003	13263	25439	39547	1102	24241	1805	26384	21351	5504	10893	5204	38123	48702	3426	24253	325	463	662	5340	5576	0	49	2863	4087	20139	2273	8294	2979	2714	4633	21076	5759	2812	7119	17541	21349	59610	19719	24791	Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; CL500-3; NA
ASV_35	82391	17707	12256	49462	14142	14883	14102	80952	26597	12137	11137	18166	12883	47937	10204	42428	53069	18746	52016	79711	32072	35117	46252	11510	16588	34310	11850	12187	34949	39200	25876	23891	12545	35667	9496	25824	49844	15011	38312	17295	8458	2444	41992	2463	10892	12599	13309	6217	54047	19362	47744	12122	3031	48572	39639	22630	260	4885	87	2873	1396	111	0	6703	0	0	0	23137	0	336	0	5124	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Crocinitomicaceae; Fluviicola; NA
ASV_158	0	0	0	0	0	0	0	17280	23212	0	0	0	14765	18911	0	16250	25787	0	7246	81919	0	8912	23787	0	0	0	0	0	17305	2286	0	10871	0	0	0	3689	0	0	0	0	6447	0	0	0	0	0	1801	0	0	0	0	8089	0	0	0	0	0	1545	0	0	0	0	0	0	0	0	0	910	0	0	0	0	Bacteria; Verrucomicrobiota; Verrucomicrobiae; NA; NA; NA; NA
ASV_53	53388	55069	71347	77094	43955	47763	64880	20004	47754	45646	50336	44385	46465	20670	28887	19467	12751	46457	0	49525	53294	9495	0	75594	0	37859	0	0	0	3259	0	0	0	0	0	1808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	170	55	0	384	0	0	139	444	84	0	102	436	Bacteria; Planctomycetota; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; CL500-3; NA
ASV_125	73236	0	0	54690	0	0	11429	0	0	0	0	0	0	0	0	0	0	0	1811	2160	21843	0	0	7811	454	24253	5773	4544	0	0	1043	0	8334	896	2426	0	0	6247	0	6438	1031	748	2460	1510	0	4513	1318	7759	0	510	1135	991	1372	0	0	3787	821	1695	2221	5854	1873	1634	1062	1735	4514	1081	3550	1066	5626	3048	3210	3336	Bacteria; Bacteroidota; Kapabacteria; Kapabacteriales; NA; NA; NA
